id;ulasan;skor;label
0;bayar signal pertama ongkirnya  proses minggu dua ongkirnya  proses kirim jd hr layan bagus mahal ongkir biaya admin lebih ongkos di biro jasa;4;0
1;kak pake foto ktp selfie kode otp tipu ya;1;-1
2;bagus bantu tingkat layan;5;1
3;mantap;5;1
4;hemat dan tenaga lebih mahal tp apa sukses aplikasi signal tahan;5;1
5;mantaaaap  kerja stnk fisik smpe rmh kena razia ksh bukti kesah digital sblm dpt stnk asli;5;1
6;manfaat tdk repot repot ke samsat mantap;5;1
7;mantap tau ada apk supaya antri samsat metode bayar banyak pilih gooooddd;5;1
8;top siganal sukses trs   tingkat lg layan semua dh dr smp top jg pos indonesia kirim paket;5;1
9;sulit masuk ulang verifikasi email gagal dg pnuh sabar  ulang ulang dan jadi sampai  rumah waktu;4;-1
10;saya dapat email laku daftar;4;-1
11;batu untuk stempel ini;5;1
12;mntaaap repot urus;5;1
13;mantap bantu berantas calo bayar  unit  semua lancar ke nya moga sedia layan nama mutasi;5;1
14;mantap mudah bayar pajak;5;1
15;mantap cepat perlu repot;5;1
16;good;5;1
17;alhamdulillah ada signal - samsat kerja gampang bantu;5;1
18;mudah cepat terima kasih signal samsat digital nasional kembang ide kreatif mudah warga urus antri;5;1
19;cepat bagus;5;1
20;salam layan baik jaya salam sehat  bahagia;5;1
21;bayar pake dana gagal kenapa tolong baik kode bayar info;1;-1
22;mudah praktis hemat;5;1
23;bantu;4;1
24;mantan bantu motor berplat kota mudah cepat efisien lngsung stnk;4;1
25;baguuuss lancar mudah;5;1
26;stnk milik nama orang instansi gmn bos;2;0
27;mantapss cepat selesai perlu antri kesah rasa stiker hologram ya ganti;5;1
28;bantu tapi kirim berkas lambat mohon tingkat terima kasih;4;1
29;bagus org ga bs langsung urus samsat;5;1
30;polantas di jalan stnk bagaimana tilang jika ada stnk digital;4;0
31;bisa nama kendara aplikasi;3;0
32;good;5;1
33;proses bayar gagal coba mobile banking bsi indomaret tetep gagal;3;-1
34;alhamdulillah udah sampe nyangka kirain lama nyata cepet sampe terimakasih;5;1
35;usaha daftar selalu bisa alas foto ktp verifikasi foto beda mohon tanggap;1;-1
36;mantap;5;1
37;waktu foto cocok foto ktp pernah aneh muka ini   nyoba tetep gabisa solusi ngga;1;-1
38;terobos bagus harap kantor perintah aplikasi ini;5;1
39;mantap bantu sdh manfaat aplikasi untuk bayar pajak kendara motor;5;1
40;moga depan mudah masyarakat layan lebih lagi;4;1
41;bisa balik nama sy beli motor bekas yg sudah tdk ktp;5;1
42;mantapp mudah lancar langsung kirim  rmh;5;1
43;mantap bantu tak antri;5;1
44;stnk di alamat tuju dlm wkt  telah bayar bantu dg aplikasi dan percaya terimakasih;5;1
45;bantu bila punya josslah;5;1
46;bantu sedang luarkota perlu repot harus samsat kota untuk bayar pajak antri moga aplikasi layan makin bagus;5;1
47;praktis;5;1
48;bantu signal mantap;5;1
49;semangat;4;1
50;bantu tunggu inovasi;5;1
51; minggu kaga bisa bayar pajaknyaaa parahhh;1;-1
52;aplikasi mudah paham sangat bantu bayar pajak kendara motor moga maju layan indonesia masyarakat indonesia peduli wajib pajak thanks;5;1
53;bantu lebih lagi semua serba digital;5;1
54;terimakasih signal urus mudah;5;1
55;aplikasi bantu kita bayar pajak motor mana trutama yg domisili luar kota proses yg lama smoga tingkat proses dr  hr kerja jd atau maksimal  kerja;5;1
56;mantepp;5;1
57;daftar kesah stnk dapat proses perlu validasi nik data di samsat sering bayar pajak tau ternnyata nik belum validasi;1;-1
58;terima kasih bantu aplikasi signal;5;1
59;aplikasi bisa bayar pajak ganti plat nomor ;4;0
60;bantu bintang akan bertamabah bisa bayar pajak yang kendara alias kendara atas nama;2;-1
61;bisa bayar pajak beda pulau provinsi bal jatim;4;0
62;alhamdulillah lancar akurat;5;1
63;udah download  kali nyoba bayar pajak  motor beda gabisa gimanasih suruh samsat udh nanya admin sosmed juga tetep suruh samsat ngapain online gt;2;-1
64;mau transaksi daftar kesah stnk bisa laku ada bug sistem ya kirim samsat muncul kode pos samsat jasa kirim tidak muncul;3;0
65;bagus terobos inovasi laku polri pemda moga polri jaya;5;1
66;hebat aplikasi benar mudah wajib pajak laku wajib bravo samsat bravo polisi bravo dispenda;5;1
67;daftar aplikasi ribet tulis email salah bener tulis email daftar tanpa number padahal di email ada char numbernya saya bisa daftar masuk;1;-1
68;mantap proses cepat kirim jg cepat terimakasih signal bantu yg domisili dari samsat tingkat klw pas daftar pakai gmail biar mudah;5;1
69;bantu tidak repot antri;5;1
70;praktis layan daringnya urus perlu antri samsat hindar kerumun;5;1
71;keren bangat mah gitu jgn tinggal zaman teknologi canggih manfaat canggih teknologi moga pajak  dan sim di lewat aplikasi signal batas bayar singkat bisa batas bayar   jam terimakasih bravo polisi indonesia;5;1
72;bantu dengan online mudah paham;5;1
73;bantu proses cepat mudah;5;1
74;ngga pas nyoba degan hasil mantab registarsi kamis sabtu pagi ditelfon pos siang bukti bayar pajak saya terima terima kasih signal dan pelihara sistem yak bravoo;5;1
75;jujur aplikasi sangat bantu cuman beberapa seperti notifikasi maintenance merchant aplikasi tidak bisa optimal untuk sebut terimakasih;3;1
76;nice;5;1
77;bisa daftar foto wajah ktp  samain foto  jelas beda aplikasi dulu samolnas gampang daftar bayar pajak susah bayar bayar pajak di denda;1;-1
78;mudah cepat aman enak dari harus samsat yg lebih murah pake online dari dateng langsung;5;1
79;keren dah top tinggal  nya kaya gesek bisa pakai kertas minyak screen shot kirim plat bisa pakai kurir lanjut pungli calo semangat;5;1
80;mudahan aplikasi bener bayar pajak kendara spy repot harus kesana kemari;5;1
81;sempurna perlu biro jasa;5;1
82;good job bantu;5;1
83;proses bagus digital mudah proses mesti dtg samsat harus perhati dlm kirim paket lama pdhl dlm  kota sama dftr -- dikrm -- -- pun  resi dr aplikasi signal update dr pos resi lagi kode alamat pd resi sesuai resi dr aplikasi signal kirim dlm  kota tidak - kerja;4;1
84;mudah;4;1
85;daftar masalah koneksi internet sinyal full buka apk bisa;1;-1
86;muas;5;1
87;aplikasi benar bantu moga akan kemajuan tks;5;1
88;bantu  pandemi covid ;5;1
89;bagus harus gin bayar pajak kendara pakai ribet;5;1
90;layan cukup bagus kirim lama banget prediksi - nyata  baru sampe stnk;4;1
91;terimakaih bantu di era digital ini;5;1
92;mudah cepat;5;1
93;aplikasi signal dapat proses pkb stnk telah jatuh tempo;1;-1
94;aplikasi bantu transaksi mudah percaya akan baik user print bukti bayar nyata laku jalan bukti pajak kirim rumah user perlu samsat cetak manual sukses polda metro jaya;5;1
95;mau verifikasi susah foto ktp rambut pas verifikasi rambut botak iya bisa harus nunggu lagi aplikasi awtis;1;-1
96;aplikasi cacat verifikasi email pas buka email link kadaluarsa jadi males pake aplikasi auto uninstal;1;-1
97;bayar pajak gampang perlu antri perlu bayar parkir kantor perintah pake parkir anehh tinggal cocok data bayar pake mobile banking tinggal tunggu drumah;5;1
98;lumayan praktis perlu antri selasa pagi bayar jumat siang sampai;5;1
99;terimakasih ksh sukses;5;1
100;gercep;5;1
101;aplikasi kok bisa daftar akun daftar harus pakek nmer tlvon trus masukin nmer saya pakek kok bisa gimana nihh;3;-1
102;mudah terima kasih signal moga tingkat layan;5;1
103;aplikasi lihat bagus canggih sayang ainya canggih ktp sama orang sama anggap beda;2;-1
104;mantap;5;1
105;bantu dan proses cepat sampai minggu sampai rumah bukti cetak pajak stnk;5;1
106;oke banget perlu antri sekarang moga baik;5;1
107;verifikasi susah ya foto udah terang cahaya juga gabisa verifikasi;3;-1
108;terima kasih menbantu kirim  kerja bisa cepat kirim;5;1
109;kirim dokumen;1;-1
110;cepat selesai banding pergi samsat bantu terimakasih;5;1
111;bagus;5;1
112;lebih antri di samsat masih perlu bawa bpkb stnk ktp asli fotocopy terima kasih;4;1
113;terima kasih signal inovasi bagus praktis;5;1
114;bantu;5;1
115;bantu terimakasih;5;1
116;bagus sangat bantu terimakasih signal;5;1
117;bantu jadi bayar pajak harus ke samsat proses cepat terimakasih;5;1
118;mayan;4;0
119;pertama kali app mudah apalagi jasa ke rumah;5;1
120;simpel mudah;5;1
121;bantu yg kerja tidak izin kantor mantul;5;1
122;sangat mudah tanpa antri kantor samsat drive thru untuk wilayah balikpapan layan banget stnk kirim  lama selesai aju tanggal  januari stnk baru kemarin  maret moga layan di tingkat;2;-1
123;proses validasinya susah padahal foto ktp ybs;2;-1
124;gak ribet;4;1
125;bantu jk stnk hbs online terima kasih jajar polisi beri kpd masyarakat mudah stnk online;5;1
126;aplikasi bagus trus tingkat aplikasi;3;1
127;josss;5;1
128;sekali mudah sangat bantu urus bayar pajak kendara maju;5;1
129;mantap mudah diskon rb tks signal;5;1
130;alhamdulillah cepat efektif efisien;5;1
131;bagus tidak pakai ribet;5;1
132;belum terima paket pos udh amggap selesai;2;-1
133;simple layan public indonesia moga layan bisa online seperti ini;5;1
134;coba;3;0
135;mantav moga lebih cepat proses waktu akan;5;1
136;praktis mudah;5;1
137;buat kode pas laku bayar bs laku kode  temu  coba pakai bank dan aplikasi dana ttp bisa buat kode  yg kadaluarsa hasil sama bisa bayar kode hubung live chatnya kesambung agen live chat bot yg meladenin hadeh;1;-1
138;saran karna guna elektronik cepat baik;5;1
139;oke proses lancar hasil cepat thanks;5;1
140;antri dateng samsat;5;1
141;hallo saya nanya bayar pajak kendara motor kalbar samsat kabupaten landak bisa mohon info terima kasih;4;0
142;mantab topmarkotop dah sore lusa tiba rumah surat pajak;5;1
143;bayar rada ribet bisa bukalapak pilih ada bayar signal indomaret karyawannya rada paham ttg signal mesti jelasin pas dah paham sistem maintenance  bayar signal kompas bisa pk bca nyata ada pilih hanya blibli sukses batas bayar mepet cuma  jam hari sama;4;-1
144;jos gandos cakkk ambrol celengan ku cakkk;5;1
145;aplikasi super the best sangat bantu panjang stnk datang fisik pandemi covid tinggal rumah selesai tks polri;5;1
146;mudah bantu kirim nyapun cepat terimakasih;5;1
147;cepat kerja;5;1
148;mudah bayar pajak kendara;5;1
149;proses cepet tingkat terus;5;1
150;verifikasi gagal ktp wajah sama;1;-1
151;seperti masyarakat taat pajak simple;5;1
152;makasih signal ngebantu banget saya lagi luar kota milik anak pokok bintang lah daftar proses cepat mudah tidak halang terimakasih bayak;5;1
153;baru download karena sempet ke samsat pas mau bayar via dana terus coba pkai bukalapak alhasil ke indomaret eeh gx kata kasir indomaret  aplikasi  gx bisa kenapa itu min di bantu udh brp  nyoba gx bisa;1;-1
154;mantap pokok bantu cuman saran lebih muda prosem bayar -banking aplikasi lain trimakasih ucap polri;5;1
155;bayar pajak jadi mudah alhamdulillah bantu kami kerja kantor pakai ribet antri kumpul  ruang kirim express banget pakai pos udah cuma ongkos kirim lumayan mahal ada uang adminnya moga layan bayar seperti sim pajak ;5;1
156;keren aplikasi untuk sibuk tidak datang samsat terimakasih;5;1
157; langsung rumah mantap;5;1
158;proses mudah bantu ada yg jawab bukti kesah ganti cap paraf kotak stnk kata sticker saya dapat terimakasih;5;-1
159;otp susah sudah minta tidak dapat;3;-1
160;top banten kab bekas cepat;5;1
161;bayar rumah perlu ngantri samsat kirim berkas kesah lamban tingkat;5;1
162;bayar pajak via digital sangat hemat biaya transportasi terobos sangat bagus bravo polri;5;1
163;mantap proses cepat;5;1
164;bantu pak hemat wp uang negara;5;1
165;oke;5;0
166;makasih manfaat bisa bantu yang susah;5;1
167;aplikasi bagus perlu cape antri stnk ke rumah untuk proses cepat mantap poko;5;1
168;mantabbb praktiss sumpah pajak nyaman umur hidup;5;1
169;berkat apk saya muda bayar pajak jauh terimakasih signal apk;5;1
170;fyi nonton yutub karna aplikasi intruksi tapi proses lebih minggu kelar tgl merah libur oia terima pos stnk saja kesah mesti print barcode aplikasi signal agak ribet ya saran coba aplikasi di kasih notes tata buat akun order supaya bingung org gaptek awam waktu bayar ditambahin kasi cuma jam org mesti buru atm thx;5;1
171;susah verifikasi;2;-1
172;aplikasi mudah dan efisien kirim  sudah terimakasih;5;1
173;bantu tumpu orang antri ganti kaleng sim online panjang sistem signal;5;1
174;mantap cepat bantu;5;1
175;sangan bantu sesuai kembang jaman digital;5;1
176;mudah bayar pajak domisili riau;5;1
177;mudah mantap perlu antri saja kirim pos ke rumah lama maklum dari jasa kirim swasta beda;4;1
178;mudah akses langsung bayar online tingkat layan sudah bagus;4;1
179;awesome;4;1
180;pas ibu sya mw nnya kokpajak mobil starlet thun  mahal sampe  jtan di bntu;4;0
181;aplikasi bantu cuman saran bagus kerjasama layan kirim jangan pos surat pajak tahan kantor pos sampe  minggu kalo pos lamaaaaa banget tindak walopun di lapor butuh lapor bisa gerak;4;1
182;nice udah bayar pajak aplikasi bebas antri kirim agak dan pajak  juga bisa bayar lewat aplikasi terimakasih;5;1
183;foto dan ktp sesuai terang;1;-1
184;aplikasi mantap data sesuai sungguh moga bayar pajak langsung via aplikasi;5;1
185;bantu tidak repot untuk urus dokumen;5;1
186;aplikasi sangat bantu  stnk sy terima;5;1
187;mantap harus pulang;5;1
188;biaya   laku bayar online mandiri;3;-1
189;aq cob instal trs masuk daftr knapa ga masuk no hp no sya masuk trdftr sya gnti no jg trdftr bingung sya mw pke layan samsat online ga ngerti;2;-1
190;aplikasi sibuk pas bayar indomaret kan cancel;4;-1
191;bayar ini  kemudian stnk sampe rumah kota bekas thank signal;5;1
192;bantu saja daftar foto gagal ke moga lebih lagi;4;-1
193;kendala terimakasih;5;1
194;bantu bayar pajak lebih mudah;5;1
195;mantaap skrg bayar pajak motor perlu repot samsat dari rumah isi data  menit bayar dapet cashback wkwkwk stnk  kemudian udh sampe rrumah kirim via pos indonesia mantap samsat;5;1
196;kirim cukup sampai terima - kalender;4;-1
197;baru karena sosialisasi daerah bisa bisa buang buang ngantri samsat;5;1
198;bantu terimakasih;5;1
199;suruh cek email verifikasi ga pesan masuk  email gimana mana sudah meped;2;-1
