id;nama_pengguna;tanggal;skor;ulasan;label
0;Sri Rahayu Fujiyanti;22/03/2022 19:58;1;Kak knp ya harus pake foto ktp,selfie,dan kode otp? Ini penipuan ya?;-1
1;Hida Yati;22/03/2022 10:42;1;Bayar pake dana gagal terus. Kenapa ya tolong di pebaiki, kode pembayaran infonya bermasalah;-1
2;Muhammad Aqimurrizal;21/03/2022 18:10;1;Saya berusaha daftar tapi selalu tidak bisa dengan alasan foto di KTP & verifikasi fotonya berbeda. Mohon untuk ditanggapi.;-1
3;Diyan Yusuf;21/03/2022 17:21;1;Kok waktu foto pencocokan dengan foto KTP ga pernah bisa. aneh,padahal tetep muka saya inilah 10 x lebih nyoba tetep gabisa ada solusinya ngga?;-1
4;Soleh Imamm;20/03/2022 19:15;1;Kurang 2 minggu kaga bisa bisa buat bayar pajaknyaaa.... Parahhh;-1
5;Dichal X;20/03/2022 15:43;1;Pendaftaran pengesahan STNK tidak dapat di proses . Anda perlu validasi NIK dan data lainnya di SAMSAT .... sudah sering bayar pajak baru tau ternnyata NIk saya belum validasi;-1
6;Adam Setyadi;20/03/2022 7:47;1;Daftar aplikasinya ribet penulisan email salah terus padahal sudah bener penulisannya,,,sepertinya email yang terdaftar harus tanpa number, padahal di email saya ada char numbernya jadinya saya gk bisa daftar dan masuk;-1
7;Yudhi Ariyanto;19/03/2022 14:20;1;Gak bisa daftar...foto wajah di ktp tahun 2011 mau di samain sama foto tahun 2022 ya jelas beda lah... aplikasi yang dulu Samolnas lebih gampang daftarnya..mau bayar pajak aja susah...gak bayar bayar pajak di denda;-1
8;TOKO ONLINE;19/03/2022 8:20;1;daftar malah masalah koneksi internet padahal sinyal full. buka apk lain bisa.;-1
9;Akhmad Jaini;18/03/2022 19:21;1;Mengapa aplikasi signal tidak dapat memproses pkb stnk yang telah lewat jatuh tempo;-1
10;Dwi irfan yuda;18/03/2022 19:08;1;Masa mau verifikasi susah amat, foto di KTP rambut panjang, pas verifikasi keadaan rambut botak, masa iya gak bisa dan harus nunggu panjang lagi, aplikasi awtis;-1
11;Garren Carsten Rondonuwu;18/03/2022 18:59;1;aplikasi cacat !! verifikasi email terus, pas buka email malah link nya kadaluarsa terus, jadi males pake aplikasi ini.. auto uninstal !;-1
12;istamar tamar;18/03/2022 14:50;1;Pengiriman dokumen lama;-1
13;Ovita Laura;17/03/2022 21:38;1;Sudah buat kode pertama. Pas melakukan pembayaran tidak bs dilakukan krn kodenya tdk d temukan. Sudah d coba pakai bank lain dan aplikasi dana ttp ga bisa. Akhirnya buat kode ke 2 krn yg pertama kadaluarsa, HASILNYA MASIH SAMA GAK BISA BAYAR KRN KODENYA BERMASALAH... Menghubungi live chatnya gak kesambung2 di agen live chat, hanya bot saja yg meladenin. Hadeh;-1
14;Javier Suprantiyo;17/03/2022 18:15;1;verifikasi selalu gagal padahal KTP dan wajah sudah sama;-1
