processed_text;label
aplikasi sulit verifikasi wajah sulit;-1
tidak kerja;-1
kendala proses verifikasi padahal ktp benar foto wajah gagal padahal sesuai;-1
verifikasi email kirim cek email tidak email;-1
verifikasi email gagal cara sesuai arah laku unduh ulang pun masalah;-1
belum balik nama belum bisa harus ktp sesuai stnk;0
verifikasi gagal padahal data benar jam jam coba mohon tingkat kami luar wilayah domisili harap besar aplikasi bayar pajak harus pulang kota asal;-1
sulit mahal tidak bisa cetak;-1
jelek sesuai sdm aparatur wakanda senang manual dapat untung daring bisa dapat ceper sengaja buat jelek tidak cuma syarat ikut amanat uu maju zaman pura punya aplikasi verifikasi foto email sulit serius cermin aplikasi bodong seperti robot trading vtube meski bodong layan nomor bisa aplikasi sedia kode bayar bayar bisa cetak samsat daerah;-1
kirim tolong baik tidak bingung;-1
wilayah jawa barat bisa bayar pajak signal belum soal coba bayar dana blibli tidak bisa bayar;0
verifikasi sulit amat;-1
terima kasih tugas pajak lalu aplikasi signal bisa mudah layan kami;1
bagus sistem error orang pernah cek akhir kirim telat hampir;1
aplikasi jelek;-1
layan lama sekali baru coba bayar pajak daring pilih opsi antar rumah pesan baru sampai stnk luar biasa lama sekali proses;-1
naik biaya kirim belum sekitar ribu bulan kirim masih kota bisa cari sela;-1
masa bisa verifikasi tiap verifikasi muka gagal foto ktp tidak sesuai ktp ambil betahun tahun lalu beda la muka gemuk;-1
tolong habis cukur rambut foto tidak sesuai ktp harus baru potong rambut beda ktp tolong bantu;-1
proses cepat percaya kirim bisa gratis ongkir;1
error verifikasi tolong baik taat pajak buat bantu negara bangun indonesia;-1
kirim stnk lambat bayar datang padahal jarak pos samsat rumah dekat tambah baik ekspedisi tambah selain pos indonesia lacak kurir konfirmasi kirim barang padahal barang belum kirim sekali sampai sendiri datang kantor pos masuk tipu barang kirim surat harga kecewa;-1
ulang foto jelas hasil foto ktp tidak sesuai;-1
kurang canggih deteksi data foto ktp selfie anggap tidak padahal cuma beda rambut;-1
jengkol verifikasi wajah tidak bisa ribetttt tidak kunyah lama lama hp;-1
tambah data kendara gagal padahal data benar;-1
mohon maaf tanya cara daftar soal verifikasi gagal;-1
tidak bisa bayar bank bsi gagal dana gagal;-1
tidak bisa kirim alamat;-1
verifikasi wajah tidak hasil coba;-1
bagus;1
kurang informasi kena aplikasi;-1
verifikasi daftar sulit gagal;-1
sulit tele tele;-1
daftar angele foto bolak balik tidak kenek tidak;-1
stnk bulan belum kirim;-1
cara dapat otp sms email tunggu sampai minta kirim ulang otp tidak sen masuk;-1
sip tinggal tunggu proses;1
ok bantu;1
paket terima aplikasi transaksi selesai;-1
tiap laku bayar tidak bisa coba tidak bisa mohon baik;-1
mantap;1
aplikasi verifikasi wajah sulit banget masa wajah harus ktp ktp foto tahun sulit banget;-1
daftar ketika verifikasi sulit utama verifikasi wajah tombol klik ambil gambar muncul notif pasti anda tidak ramai padahal posisi rumah;-1
verifikasi wajah gagal coba alas tidak sesuai wajah ktp yakali harus sesuai banget foto ktp masa harus disamain banget tidak jelas;-1
bagus soal tidak bisa daftar kendara beli bekas punya ktp milik pertama pilih cuma milik keluarga kk;-1
hampir bulan bayar surat pajak sampai belum kirim pilih kirim tempat tuju isi alamat ujung ambil kantor samsat bayar ongkir tidak kirim payah bukan mudah malah sulit;-1
sulit buat bayar ganggu dana tidak bisa kode;-1
halo samsat cara bayar pajak kendara cara daring tidak menu;0
sulit bener daftar verifikasi wajah tidak bisa bisa coba pihak aplikasi tolong baik;-1
wajah ktp beda emang dulu kurus gemuk daftar;-1
php kalteng mentok bayar;-1
sulit bener buat verifikasi ktp doang tolong digitalisasi tingkat;-1
cuma buat gaya doang aplikasi tidak bisa sulit bin sulit;-1
area karawang jawa barat bisa panjang daring aplikasi;0
tolong aplikasi dibenerin foto wajah ktp tidak sesuai tolong dibenerin;-1
verifikasi email tidak bisa padahal kirim;-1
lebih efektif posisi tidak kota apalagi antar provinsi;1
daftar tidak bisa padahal wifi sering tulis periksa kembali koneksi anda kasih bintang dulu coba;-1
senang layan pajak daring tidak sulit antre bayar dana pun bukalapak ulang tidak bisa mohon baik solusi bintang dulu;1
verifikasi foto ktp gagal;-1
pilih bayar lalu tiap kunjung tidak bisa laku bayar alas belum kerja tolong mudah bayar;-1
bisa konfirmasi bayar bayar harus drop pos kirim terima tidak terlalu lama proses kirim stnk;-1
waktu laku bayar gagal;-1
aplikasi gatel verifikasi wajah kaga bisa tampil polos cahaya cukup tidak bisa lemah aplikasi perintah gin tengah tengah tidak pernah aplikasi bener;-1
layan by sistem cukup baik responsif namun jasa kirim seperti perlu guna jasa lebih cepat guna situs tracing lambat kirim padahal wilayah jakarta apalagi teman pelosok;1
banyak virus unduh;0
bisa aplikasi selain bayar pajak kendara sendiri bisa bayar kendara orang android;0
gilir kesah stnk gagal terang silah samsat harus samsat buat buat aplikasi;-1
daftar kesah stnk gagal mulu solusi suruh datang samsat samsat aplikasi guna;-1
verifikasi mail tidak pernah masuk tidak bisa guna aplikasi;-1
jelek banget tidak bisa tiap verifikasi daftar gagal;-1
terang ktp foto profil tidak sesuai piye kyk ekspresi;-1
bagus mudah mohon bisa tambah fitur print bukti terima bayar kirim via email mks;1
aplikasi mantap bantu bayar pajak kendara motor mohon tingkat kirim stnk lebih cepat;1
mantap terima dokumen tidak perlu samsat mantap punya;1
layan jasa kirim harus lebih variatif jangan hanya pos layan pos kurang baik;-1
ingin daftar akun verifikasi gagal padahal benar ktp foto mohon baik;-1
sulit sekali daftar;-1
bayar pajak aplikasi signal tidak bisa kata maintenance;-1
bayar pajak bulan lalu bukti bayar sampai gaada padahal bayar jasa kirim;-1
daftar sulit minta ampun verifikasi ktp wajah beda verifikasi ktp wajah;-1
mantap;1
canggih simpel waktu tidak buang urus selesai;1
tidak bisa aktivasi alas foto profil ktp beda;-1
masa verifikasi gagal ktp hadap foto profil tidak sesuai solusi;-1
tidak bisa alas foto ktp foto liveness beda padahal ktp umur idup males updatean foto dukcapil;-1
boros anggar negara aplikasi digitalisasi kayak tidak niat kategori aplikasi buruk;-1
benar bantu banget coba evaluasi kaitan ongkir masa kirim jakarta timur ongkir pos rp tidak tahu pihak pos signal mahal normal ongkir jabodetabek pos rp sampai pihak signal mahal banget padahal proses panjang aplikasi kena biaya rp tambah ongkir total rp;1
tidak bisa tambah motor anggota keluarga kk;-1
ulang daftar tidak bisa atur daftar ketat tiap daftar foto ktp masalah;-1
kode otp kirim aplikasi harus baik;-1
mohon lapor tunggu verifikasi email belum email masuk sedang aplikasi minta cek email lalu daftar sampai belum dapat email fitur tidak dapat guna;-1
lihat ulas bagus mudah demikian;1
bagus kerja moga makin lancar kurang cuman sistem bayar moga bisa tingkat jadul baik bantu sekali jika sedang rantau;1
bulan lebih belum kirim kirim;-1
laku bayar belum muncul tanggal bayar ragu tidak proses;-1
